Date_Calc,Sales,Type
2/1/2010,948,Book stores
3/1/2010,948,Book stores
4/1/2010,858,Book stores
5/1/2010,1015,Book stores
6/1/2010,1020,Book stores
7/1/2010,1003,Book stores
8/1/2010,2134,Book stores
9/1/2010,1400,Book stores
10/1/2010,905,Book stores
11/1/2010,978,Book stores
12/1/2010,1879,Book stores
1/1/2011,1950,Book stores
2/1/2011,960,Book stores
3/1/2011,881,Book stores
4/1/2011,797,Book stores
5/1/2011,936,Book stores
6/1/2011,902,Book stores
7/1/2011,865,Book stores
8/1/2011,2142,Book stores
9/1/2011,1335,Book stores
10/1/2011,751,Book stores
11/1/2011,797,Book stores
12/1/2011,1400,Book stores
1/1/2012,1716,Book stores
2/1/2012,821,Book stores
3/1/2012,756,Book stores
4/1/2012,742,Book stores
5/1/2012,887,Book stores
6/1/2012,839,Book stores
7/1/2012,785,Book stores
8/1/2012,1836,Book stores
9/1/2012,1097,Book stores
10/1/2012,717,Book stores
11/1/2012,755,Book stores
12/1/2012,1318,Book stores
1/1/2013,1660,Book stores
2/1/2013,740,Book stores
3/1/2013,705,Book stores
4/1/2013,662,Book stores
5/1/2013,818,Book stores
6/1/2013,722,Book stores
7/1/2013,702,Book stores
8/1/2013,1561,Book stores
9/1/2013,1101,Book stores
10/1/2013,715,Book stores
11/1/2013,739,Book stores
12/1/2013,1317,Book stores
1/1/2014,1473,Book stores
2/1/2014,723,Book stores
3/1/2014,676,Book stores
4/1/2014,675,Book stores
5/1/2014,784,Book stores
6/1/2014,693,Book stores
7/1/2014,697,Book stores
8/1/2014,1686,Book stores
9/1/2014,1060,Book stores
10/1/2014,720,Book stores
11/1/2014,724,Book stores
12/1/2014,1326,Book stores
1/1/2015,1476,Book stores
2/1/2015,682,Book stores
3/1/2015,652,Book stores
4/1/2015,647,Book stores
5/1/2015,745,Book stores
6/1/2015,678,Book stores
7/1/2015,687,Book stores
8/1/2015,1532,Book stores
9/1/2015,1052,Book stores
10/1/2015,709,Book stores
11/1/2015,714,Book stores
12/1/2015,1298,Book stores
1/1/2016,1402,Book stores
2/1/2016,675,Book stores
3/1/2016,669,Book stores
4/1/2016,659,Book stores
5/1/2016,728,Book stores
6/1/2016,666,Book stores
7/1/2016,642,Book stores
8/1/2016,1474,Book stores
9/1/2016,1025,Book stores
10/1/2016,682,Book stores
11/1/2016,713,Book stores
12/1/2016,1237,Book stores
1/1/2017,1374,Book stores
2/1/2017,674,Book stores
3/1/2017,692,Book stores
4/1/2017,715,Book stores
5/1/2017,770,Book stores
6/1/2017,688,Book stores
7/1/2017,650,Book stores
8/1/2017,1375,Book stores
9/1/2017,976,Book stores
10/1/2017,651,Book stores
11/1/2017,659,Book stores
12/1/2017,1105,Book stores
1/1/2018,1206,Book stores
2/1/2018,633,Book stores
3/1/2018,651,Book stores
4/1/2018,622,Book stores
5/1/2018,689,Book stores
6/1/2018,630,Book stores
7/1/2018,603,Book stores
8/1/2018,1213,Book stores
9/1/2018,861,Book stores
10/1/2018,636,Book stores
11/1/2018,662,Book stores
12/1/2018,1119,Book stores
1/1/2019,1005,Book stores
2/1/2019,574,Book stores
3/1/2019,592,Book stores
4/1/2019,639,Book stores
5/1/2019,684,Book stores
6/1/2019,603,Book stores
7/1/2019,580,Book stores
8/1/2019,1103,Book stores
9/1/2019,852,Book stores
10/1/2019,633,Book stores
11/1/2019,623,Book stores
12/1/2019,1043,Book stores
1/1/2020,957,Book stores
2/1/2020,569,Book stores
3/1/2020,388,Book stores
4/1/2020,168,Book stores
5/1/2020,259,Book stores
6/1/2020,366,Book stores
7/1/2020,412,Book stores
8/1/2020,725,Book stores
9/1/2020,583,Book stores
10/1/2020,427,Book stores
11/1/2020,465,Book stores
12/1/2020,844,Book stores
1/1/2021,769,Book stores
2/1/2021,430,Book stores
3/1/2021,513,Book stores
4/1/2021,481,Book stores
5/1/2021,592,Book stores
6/1/2021,659,Book stores
7/1/2021,668,Book stores
8/1/2021,1082,Book stores
9/1/2021,829,Book stores
10/1/2021,655,Book stores
11/1/2021,665,Book stores
12/1/2021,1127,Book stores
1/1/2022,860,Book stores
2/1/2022,550,Book stores
3/1/2022,576,Book stores
4/1/2022,634,Book stores
5/1/2022,664,Book stores
6/1/2022,607,Book stores
7/1/2022,646,Book stores
8/1/2022,1140,Book stores
9/1/2022,863,Book stores
10/1/2022,636,Book stores
11/1/2022,669,Book stores
12/1/2022,1175,Book stores
